country_code,country_name,region,income_group,group,developed,population,log_y0_pre_crisis,log_y0_recuperation,log_y0_stability,log_y0_recent,log_y0_full,growth_pre_crisis,growth_recuperation,growth_stability,growth_recent,growth_full,gdp_pc_2004,gdp_pc_2005,gdp_pc_2006,gdp_pc_2007,gdp_pc_2008,gdp_pc_2009,gdp_pc_2010,gdp_pc_2011,gdp_pc_2012,gdp_pc_2013,gdp_pc_2014,gdp_pc_2015,gdp_pc_2016,gdp_pc_2017,gdp_pc_2018,gdp_pc_2019,gdp_pc_2020,gdp_pc_2021,gdp_pc_2022,gdp_pc_2023,gdp_pc_2024
FIN,Finland,Europe & Central Asia,High income,Developed,1,5619911,10.633977792119145,10.744189564154127,10.666245645191548,10.721884069873319,10.633977792119145,2.755294300874542,-1.558878379251547,1.1127684936353837,-0.09662139543807291,0.41054497013944646,41521.962874476,42529.3506920884,44069.3958834717,46213.6898975737,46359.8732844055,42412.5133513534,43556.5385834368,44391.4535667984,43507.9345371578,42883.6384986417,42502.4880199858,42560.3456767103,43529.6761616969,44862.220404205,45337.2409550575,45898.5708448954,44690.9801103074,45792.0454180872,46016.1492103929,45196.4814400136,45075.1684940688
FRA,France,Europe & Central Asia,High income,Developed,1,68551653,10.450369670643694,10.498397836691959,10.498362554628631,10.546983342576375,10.450369670643694,1.2007041512066585,-0.0007056412665649994,0.9724157589548736,0.695079723840012,0.6915922768154121,34557.1471111581,34946.0372494703,35645.4162427116,36322.1685141004,36257.3658930938,35052.8510772683,35578.1968010183,36269.9561530888,36161.2918253465,36256.086680981,36444.3949089146,36702.4323733379,36920.5342846914,37580.5979329356,38062.4435961412,38705.2072940618,35709.2045925926,38030.8571685178,38868.3303330557,39319.4152227295,39683.3953489029
GAB,Gabon,Sub-Saharan Africa ,Upper middle income,Emerging,0,2538952,8.874725966139406,8.774681778845467,8.844805946849753,8.813527149568015,8.874725966139406,-2.5011046823484713,1.4024833600857023,-0.6255759456347633,-0.26382591424481056,-0.38514185713040305,7148.98713447497,7130.22505771754,6724.08148977274,6908.67399162999,6468.38523357609,6264.83611480154,6481.49612073562,6699.23394606512,6803.22668079211,6938.25753862236,6998.60545439576,7047.12654634355,6991.3251446736,6840.05959347802,6724.5961429108,6817.56879468764,6534.27966529444,6479.0490069252,6527.48207901861,6541.25368618042,6618.9868586134
GMB,"Gambia, The",Sub-Saharan Africa ,Low income,Emerging,0,2759988,6.5418425326274106,6.48871192105011,6.459156707798993,6.489399187925223,6.5418425326274106,-1.3282652894325242,-0.5911042650223466,0.6048496025246056,2.375960770058291,0.45057150750654673,693.563314497133,658.676285443081,636.596026908866,637.20930597537,657.675679192228,681.433469086571,701.014524591061,625.464360270983,639.139881889048,638.522368532214,611.879472952196,619.536364296461,615.193365494386,628.777299272925,658.127833258563,682.797642940426,670.758642891251,689.49323955737,710.686979216316,735.612384062616,758.965888826955
GEO,Georgia,Europe & Central Asia,Upper middle income,Emerging,0,3812518,7.65207299240279,7.996370625261619,8.244466988701284,8.45821858661897,7.65207299240279,8.60744082147072,4.961927268793302,4.275031958353722,5.62615281748666,5.718573816326899,2105.00472843799,2321.60084285163,2554.81253503914,2891.13702331846,2970.15858282428,2887.25607935922,3090.06513662318,3362.1030031968,3609.780798626,3806.50600649051,3960.35080091901,4086.6223465965,4225.09154904806,4442.50744127374,4713.65354845303,4975.81148194814,4659.60925318234,5175.19865185825,5736.30449578597,6180.6206023429,6606.35772271858
DEU,Germany,Europe & Central Asia,High income,Developed,1,83516593,10.482559629672282,10.571569399997207,10.618515901568854,10.689802961609656,10.482559629672282,2.2252442581231113,0.9389300314329316,1.4257412008160704,0.04621221852771971,1.0500803252451896,35687.6378708542,36024.0947047021,37459.261328042,38593.0749910508,39009.8477636357,36940.4078672661,38526.7371042695,40722.4849268242,40834.5088218456,40884.8926759028,41602.4661281668,41929.7549110722,42516.9337063103,43543.4807050551,43905.8550061973,44235.2658954682,42372.8726784255,44011.0194631674,44817.1316331389,44368.9920074881,44027.7631554469
GHA,Ghana,Sub-Saharan Africa ,Lower middle income,Emerging,0,34427414,7.010586877806363,7.156671186674488,7.449263567025663,7.5577095484827375,7.010586877806363,3.6521077217031266,5.851847607023506,2.168919629141498,2.102599158181774,3.366393100836409,1108.30475353633,1143.31178934301,1185.26570738595,1205.31705804209,1282.63416886747,1311.63053760125,1381.2279503506,1537.81834019283,1640.54072088003,1718.59704769958,1726.36930134647,1722.77282833606,1740.81101902928,1841.44636153249,1915.4532323781,1999.55372220211,1970.19411460398,2030.04866500967,2067.20895855521,2091.81335596465,2173.00329800201
GRC,Greece,Europe & Central Asia,High income,Developed,1,10405134,9.984519236978075,10.08263240532506,9.77820074620124,9.83996392753441,9.984519236978075,2.4528292086746304,-6.088633182476414,1.2352636266633648,2.2599512485594357,-0.04479117265050557,21688.1050959558,21880.5265835801,23220.5324419197,23973.6936091313,23923.8800731311,22878.1346644397,21547.724178239,19448.255802525,17924.6620496886,17644.8766635021,17903.5252440012,17980.7298238137,18049.928997892,18352.0884461258,18769.0389621976,19216.6759579785,17486.951333323,19231.2888803517,20550.5049158297,21050.8648111581,21494.6856060599
GTM,Guatemala,Latin America & Caribbean ,Upper middle income,Emerging,0,18406359,8.08647353853656,8.180301355090869,8.220754109259989,8.30405248040512,8.08647353853656,2.3456954138577384,0.8090550833823995,1.6659674229026193,2.0324845178752113,1.6976400647053658,3250.20561194529,3284.81128421658,3388.15165081967,3527.77995621193,3569.93031541246,3516.19395579721,3546.62750929879,3621.37582644774,3655.57490299412,3717.30457960279,3809.61584332802,3893.50533299068,3924.7789643024,3972.74059262672,4040.21214374742,4139.12206338632,4005.83916360689,4268.62864461492,4383.90326160481,4469.05514652918,4564.21378502908
GIN,Guinea,Sub-Saharan Africa ,Lower middle income,Emerging,0,14754785,6.469533754748539,6.529091456762496,6.592815937106983,6.802291789183961,6.469533754748539,1.4889425503489004,1.274489606889745,4.189517041539572,2.5060392391063484,2.4156019439090133,645.182843390689,651.359606871604,645.472001923653,673.698997420626,684.775780377366,660.756701330284,675.736917327708,696.199991395571,719.505916794546,729.833143236326,738.272274481308,747.356966759448,807.236421043888,867.907502577607,899.907328045175,926.42221954853,945.570903389665,973.646890096159,987.502501465337,1016.88094800324,1045.92207475792
GNB,Guinea-Bissau,Sub-Saharan Africa ,Low income,Emerging,0,2201352,6.350058960783207,6.411750318762545,6.452199504759086,6.5315433242342085,6.350058960783207,1.5422839494834257,0.8089837199308466,1.5868763895024425,2.2549872866402922,1.5839180032470945,572.526464627294,595.94255560187,597.257151722046,597.482020935948,608.958620496925,608.202131879882,625.904027290582,658.953470528116,630.66862302825,634.095456089352,623.610159103365,645.066837207039,663.242608032005,677.466131311367,686.456819839526,706.298562874985,710.275830755611,729.396882757942,752.149255217249,769.504652461795,785.91021956464
HTI,Haiti,Latin America & Caribbean ,Lower middle income,Emerging,0,11772557,7.159993696806028,7.212688197321512,7.238771262553812,7.270558172127199,7.159993696806028,1.3173625128870925,0.5216613046460175,0.6357381914677298,-3.6495392045321284,-0.5420393847537823,1286.90282128221,1304.33303731231,1305.03813815611,1343.61111422048,1356.53400140048,1412.89653523429,1317.58389339746,1369.16921255852,1354.88546124499,1392.38204736859,1411.76834802154,1411.12684746796,1416.74881879698,1432.67228609541,1437.35251928349,1394.42114071112,1331.69778506932,1292.71954963551,1256.72143592448,1219.11871645847,1154.68841945337
HND,Honduras,Latin America & Caribbean ,Lower middle income,Emerging,0,10825703,7.554287415846978,7.6848515706753915,7.698664751950635,7.7957021053986795,7.554287415846978,3.264103870710349,0.27626362550486583,1.9407470689608879,0.9671214512690175,1.4972098831392122,1908.90950050464,1975.85647913236,2056.53491469231,2134.19540639485,2175.14709403064,2076.30859895638,2108.47314459603,2144.56265540491,2188.39378817891,2205.40126728067,2229.24772232218,2271.20265980349,2315.72983058198,2383.37398439714,2430.13503657762,2447.61649282181,2189.43168668222,2423.76634916911,2482.22384904714,2527.27366333188,2575.32081187859
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,Developed,1,7524100,10.319044570978237,10.516618459525374,10.620350713690899,10.720631693143805,10.319044570978237,4.939347213678435,2.0746450833104997,2.005619589058103,-0.20221361631536947,1.9472715259332265,30304.2901619598,32401.3558626573,34458.0032348089,36371.6434233987,36924.0529643897,35938.578391742,38090.0154420129,39656.3184510131,39887.8192650568,40959.9776349249,41796.8593150091,42432.1619740441,43087.5537128127,44380.8176753147,45280.4971892076,44195.2741142906,41451.2989586282,44530.9213833761,43281.0067309646,43518.9311789918,44734.4365296835
HUN,Hungary,Europe & Central Asia,High income,Developed,1,9562065,9.286049537171168,9.386788127288737,9.369868460150887,9.584230758165745,9.286049537171168,2.5184647529392192,-0.3383933427570305,4.287245960297185,2.1582319007874395,2.1383756752091143,10786.4881991495,11272.7345428122,11734.4544729813,11791.7074416876,11929.7209867703,11142.885928524,11287.3686666108,11536.3578996772,11440.7622718825,11729.5720798501,12287.3779441033,12782.9412577973,13145.6559885563,13734.2442804335,14533.7783144312,15290.8085466331,14664.2971195385,15787.9535427563,16487.7973935944,16375.0462724192,16543.1049095203
IND,India,South Asia,Lower middle income,Emerging,0,1450935791,6.794134759426066,6.990722370329887,7.243837295211632,7.540811487804716,6.794134759426066,4.914690272595531,5.0622984976349095,5.939483851861681,3.8082753289603954,4.875866240581372,892.596614580718,947.732565644272,1008.23275344818,1069.24696812234,1086.50605251005,1155.10163273817,1235.15939132939,1281.61054354937,1333.09626557649,1399.4537980281,1484.31640682961,1583.99815907985,1694.46534973787,1788.69770318481,1883.35772705055,1936.03067741063,1806.50110583865,1965.30943437472,2098.21124476122,2229.71491223037,2366.8328910323
IDN,Indonesia,East Asia & Pacific,Upper middle income,Emerging,0,283487931,7.633227420160034,7.809785586289368,8.024614233453086,8.21644521178391,7.633227420160034,4.413954153233349,4.296572943274371,3.83661956661647,2.7600544612410083,3.7441052964916812,2065.70617470842,2155.4478015921,2244.0802226202,2355.1528565328,2464.60193418272,2546.21969707767,2670.8129098953,2799.62468790318,2930.518445323,3055.24246006469,3170.72103011429,3288.22269725538,3416.81005170972,3553.51999262321,3701.32155461912,3850.90321738979,3739.44906563161,3850.68877253903,4024.91225288391,4192.64401034181,4367.94741847938
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,Emerging,0,91567738,8.435430204601783,8.524355497821062,8.500448359868757,8.542319847097776,8.435430204601783,2.2231323304820045,-0.47814275904608544,0.8374297445803446,2.153570489683958,1.180519359385153,4607.45169088209,4650.35841490708,4778.7934584732,5084.71796043623,5035.94008533618,5023.89314362941,5249.06133369759,5321.75870744453,5058.64637811835,4916.97291948475,5093.20319702187,4952.73355532178,5312.61724954192,5395.2398398598,5127.22495367018,4952.45669081078,5132.82430762118,5300.62271961895,5465.31447539413,5687.84396268742,5834.44296939863
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,Emerging,0,46042015,8.117988214007669,8.237950081775155,8.412904739864173,8.465691289665148,8.117988214007669,2.999046694187177,3.499093161780351,1.055730996019528,-2.1258984443869404,1.1007458449713228,3354.26588756715,3310.86344473993,3471.98744698568,3565.58054079041,3781.78001712762,3768.17284328983,3881.94327045302,4030.01686860986,4387.90469058707,4504.82687537354,4446.97343234862,4440.14189252367,4932.9272911439,4736.32710809857,4749.00921836896,4898.14897668582,4213.99843766061,4182.50064045825,4412.99733146512,4337.0870532422,4180.29619477317
IRL,Ireland,Europe & Central Asia,High income,Developed,1,5395790,10.796639103723713,10.80894298253408,10.777455886695826,11.212212931086379,10.796639103723713,0.30759697025919774,-0.6297419167651201,8.695140887811068,4.064624496725195,3.297256485830885,48856.3238587396,50547.2123729763,51656.8194855887,52849.6948429458,49461.1594281353,46466.3794269222,46991.6464673949,47539.9181739968,47147.1604669421,47928.0346487005,52044.6201181887,64250.1385181257,64205.979777351,69748.6221034014,74029.0550611436,76485.635854651,80927.936475395,92781.2322150786,97793.5366671697,93541.9643678381,94474.9879707069
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,Developed,1,10002200,10.27055855276798,10.38960325878136,10.475491751594292,10.563465930341833,10.27055855276798,2.9761176503345026,1.7177698562586194,1.75948357495083,1.3191103735320155,1.8602699999288679,28870.0080868057,29600.1467243332,30707.435814097,32071.3107404162,32519.7624461575,32139.1146490917,33307.1044316197,34499.9509262825,34685.0915981013,35436.2912873273,36055.08530225,36138.13561386,37044.0118623764,37911.0217281157,38695.0100079706,39322.038041422,37938.3809354755,40788.2391785198,42539.2748766689,42131.7415675806,41882.0474698252
ITA,Italy,Europe & Central Asia,High income,Developed,1,58952704,10.414782300707424,10.420811041774327,10.319893331311004,10.372354339411459,10.414782300707424,0.15071852667259275,-2.018354209266451,1.0492201620090889,1.276595003550755,0.17083869458540363,33348.9744820456,33407.6754716472,33873.0493680093,34159.9109244074,33550.6340800063,31587.0638416305,31928.5543621096,32039.5032494316,30953.4147447427,30330.0221599668,30325.0287793923,30639.8829751432,31077.6792675211,31635.52277108,31963.6417148824,32180.4341017428,29469.7989238626,32267.7091050201,33891.8866526216,34221.7182928271,34508.1235191237
JAM,Jamaica,Latin America & Caribbean ,Upper middle income,Emerging,0,2839175,8.61381185135065,8.637566602260277,8.573551669313158,8.651352723657938,8.61381185135065,0.5938687727406763,-1.280298658942397,1.5560210868956326,1.068439211142158,0.5082361248790909,5507.20135110043,5525.73577833713,5656.66803579988,5710.53878446758,5639.58974873397,5372.14234169511,5271.57221477938,5339.62170188798,5284.00852557589,5289.88438546111,5307.19165380801,5339.30718256806,5472.28314023034,5586.1365723133,5717.87621107532,5814.79275311692,5317.84145033966,5607.45378253877,5965.46127464873,6127.90771263434,6096.4327030963
JPN,Japan,East Asia & Pacific,High income,Developed,1,123975371,10.397669310937012,10.43436846328704,10.452668875283202,10.515950155308118,10.397669310937012,0.9174788087506753,0.36600823992324705,1.265625600498352,0.4796047207190461,0.7352856380712476,32783.1292835489,33385.9179590327,33880.6890093456,34426.6937124867,34008.5915147362,31993.8588053706,33311.2872381879,33306.1802259719,33909.4911855243,34636.6924746166,34996.8796756631,35664.6446110613,35934.4467886662,36547.7357437305,36899.3847079435,36837.2583653113,35363.2996951789,36792.556429474,37448.3504824849,37902.5492204411,37976.6371788298
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,Emerging,0,11552876,8.3655848010961,8.497476790473112,8.518744311940884,8.371017576451653,8.3655848010961,3.2972997344252715,0.42535042935547,-2.954534709784637,0.46043715520551026,0.16529502333941645,4296.62367370886,4532.96248258538,4596.56909353547,4681.17006766931,4902.38348073849,5043.62638729303,5066.49720027725,5085.98005025386,5135.0327939589,5007.76162067161,4703.39944986815,4441.61896013754,4326.17261571505,4335.92512689541,4320.029787425,4313.80791426608,4188.21240095719,4266.3790298994,4309.61432856804,4373.38088482368,4441.03974922351
